temp(C) wspeed smoist(mm) stemp(F)
17 5 367 54
8 5.1 367 61
14 5.2 355 59
6 5 362 77
20 5.3 419 57
2 5 436 57
2 5.2 410 69
3 5.2 381 71
10 5.4 421 56
7 5.4 439 69
8 5.1 395 65
2 5.3 416 73
2 5.1 352 66
2 5.4 337 59
2 5.4 365 62
16 5.2 384 65
17 5.4 375 63
16 5 346 61
13 5.5 326 70
7 5 369 54
16 5.1 354 70
20 5.5 341 54
15 5 405 73
17 5.1 403 72
5 5.1 442 68
18 5.3 411 57
13 5.2 387 67
13 5.1 335 56
11 5.5 434 76
14 5.3 385 70
19 5.3 371 56
8 5.1 347 73
19 5 406 68
6 5.5 395 58
19 5 374 54
6 5.2 442 56
11 5 341 63
6 5.2 431 76
8 5.3 422 56
13 5.4 350 75
9 5.5 378 67
5 5 403 59
5 5 406 73
19 5.5 340 70
7 5 343 62
18 5.4 424 56
16 5.1 327 73
8 5.5 328 74
9 5.5 440 60
18 5.2 407 76
7 5.3 182 73
10 7 145 61
8 7.1 190 57
12 7.5 155 61
17 7.3 130 57
5 7.3 430 65
11 5.1 340 56
15 5.1 338 52
18 5.5 448 48
12 5.2 413 50
12 5 445 47
16 5.4 331 51
13 5.3 446 52
16 5.4 430 69
14 5.3 398 59
11 5.3 387 55
20 5.4 386 59
20 5.1 421 77
16 5.5 447 58
8 5.2 405 59
11 5.4 438 73
16 5.5 414 66
20 5 329 77
20 5.3 420 61
16 5.3 343 77
5 5.4 357 77
14 5.5 444 73
19 5.5 441 57
16 5.5 406 77
9 5.5 434 70
13 5.2 337 74
6 5.5 400 74
11 5.1 448 69
14 5 396 58
15 5.2 447 76
11 5.3 386 65
14 5.4 379 67
20 5.5 350 71
17 5.2 326 56
14 5.1 417 59
18 7.3 425 60
9 7.4 390 59
6 5.5 365 71
12 5 367 67
19 5.3 416 63
19 5 367 65
20 5.4 329 74
19 5.4 433 59
16 5 401 77
6 5.2 420 67
20 5.5 375 60
3 5 410 55
2 5.3 442 63
2 5.5 363 77
18 5.4 433 54
6 5.5 447 60
8 5.1 326 69
2 5 389 61
2 5.5 422 60
2 5 335 57
2 5.5 401 66
5 5.5 363 61
6 5.4 393 70
8 5.1 408 64
7 5.4 336 58
7 5.2 365 54
17 5.1 445 54
18 5 344 76
15 5 403 73
6 5.4 361 62
18 5.3 380 70
12 5.4 346 65
5 5 370 64
14 5.5 382 75
8 5.4 405 67
12 5.2 399 59
5 5.5 356 69
11 5.3 409 67
15 5.3 405 58
15 5.4 433 76
13 5.5 328 71
6 5 340 64
8 5.5 426 59
11 5.5 397 62
17 5.4 382 74
19 5.2 434 58
18 5 400 73
8 5.5 432 60
18 5 376 74
20 5.3 349 59
17 5.2 415 65
5 5 445 65
9 5.1 374 58
10 5.5 412 59
20 5.1 437 54
10 5 388 69
13 5.1 137 67
18 7.2 126 67
18 7 191 64
11 7.4 128 58
11 7.4 142 56
15 7.4 328 70
20 5.1 432 73
17 5.2 355 54
17 5.3 402 50
7 5.4 439 55
12 5.2 441 50
7 5.2 377 47
8 5 372 46
14 5.2 395 57
9 5.4 393 58
19 5 419 64
15 5.2 366 72
19 5 370 68
20 5 440 59
17 5.3 444 72
17 5.4 445 76
11 5.2 372 70
16 5.4 405 72
14 5.4 368 71
5 5 449 54
6 5 417 75
19 5.5 349 66
18 5.5 421 61
10 5.4 417 65
16 5.5 332 59
18 5.1 413 65
7 5.5 365 57
14 5.5 429 74
14 5.2 385 75
15 5.2 445 60
9 5.2 340 64
6 5.4 385 61
12 5 449 58
5 5 449 74
8 5.5 363 55
13 7 376 60
14 7.3 403 75
17 5.1 444 57
8 5.1 447 60
18 5.2 420 67
17 5.5 335 75
17 5.5 352 72
14 5.3 389 69
17 5.5 413 54
19 5.3 385 55
14 5.3 402 54
3 5 437 60
3 5.3 397 64
2 5.4 325 71
5 5.3 356 58
19 5.1 415 66
9 5 415 64
2 5.1 383 68
3 5.4 349 76
2 5 447 55
2 5.3 402 77
12 5.5 436 63
20 5.2 449 55
10 5.2 420 61
18 5 414 76
5 5 445 73
18 5 394 74
14 5.2 434 55
12 5.1 357 61
20 5.5 327 60
12 5.2 355 54
5 5.1 388 67
10 5.4 372 77
8 5 420 76
20 5 328 70
14 5 432 72
19 5.1 344 72
19 5.1 382 70
19 5 428 64
18 5.3 364 74
5 5 376 64
15 5.4 400 75
12 5.3 348 57
15 5.3 329 67
6 5.5 395 65
10 5.3 342 64
8 5.4 328 76
11 5 397 55
14 5 411 65
7 5.4 431 66
7 5.4 360 60
6 5.2 441 67
18 5.3 349 54
19 5.5 431 72
15 5.2 380 77
8 5.4 344 72
5 5.4 184 68
8 7.4 196 66
14 7 163 62
20 7.5 164 74
7 7.4 120 54
19 7 408 64
7 5.4 399 69
7 5.5 386 51
11 5.3 376 55
5 5.2 335 46
19 5.3 396 54
16 5.2 325 47
18 5.2 346 52
10 5.4 375 60
19 5.1 445 73
19 5.5 350 67
15 5.1 342 76
6 5.2 353 64
11 5.5 392 57
19 5.4 374 70
10 5.2 429 69
14 5 348 61
7 5.1 364 54
14 5.5 372 57
14 5.4 379 73
6 5 371 55
15 5.1 407 61
12 5.3 358 55
10 5.2 431 76
13 5.2 341 56
11 5.2 396 76
12 5.3 379 76
9 5.3 376 69
15 5.4 445 75
16 5.3 344 65
14 5.3 342 62
5 5.3 375 69
8 5.3 430 71
18 5.1 426 61
9 5.5 330 64
19 7 372 66
16 7.2 381 63
13 5.1 401 59
19 5.1 385 58
11 5.4 448 60
14 5 327 56
15 5.1 399 55
11 5.1 381 65
7 5.2 325 68
9 5 365 72
7 5.5 350 72
2 5.5 420 61
2 5.1 331 61
2 5.1 365 72
11 5.5 325 64
15 5.3 348 72
11 5.4 426 58
3 5.5 333 56
3 5.1 346 68
3 5.4 401 56
3 5.4 414 58
5 5.3 385 74
14 5.1 375 69
18 5.5 370 64
13 5.1 339 69
14 5.5 328 77
10 5.3 342 71
19 5.1 350 71
6 5.1 346 58
8 5.4 385 58
14 5.4 437 74
11 5.4 338 61
20 5.5 399 61
11 5.5 432 70
18 5.3 360 68
18 5.5 413 61
19 5.3 384 55
20 5.4 345 65
20 5.2 444 75
14 5.2 387 77
18 5.5 359 64
6 5.4 409 65
16 5.3 336 71
12 5.5 326 70
19 5.3 351 70
12 5.1 329 74
18 5.5 418 62
14 5 357 61
6 5.3 381 74
15 5.2 326 62
9 5 404 56
9 5.4 393 74
5 5.4 393 71
16 5.4 443 67
17 5 415 65
10 5 357 74
16 5.3 187 67
18 7.3 178 61
20 7.2 171 66
8 7.3 173 65
11 7.5 153 72
6 7.4 421 58
17 5.1 342 64
12 5.1 420 54
20 5.4 363 48
8 5.4 419 45
8 5.3 347 51
14 5.3 369 52
19 5 435 55
14 5.5 433 68
17 5 404 56
10 5.3 420 72
16 5.1 374 69
20 5 448 54
15 5.3 382 54
9 5.3 430 56
20 5.1 442 74
7 5.2 334 75
12 5.3 331 66
19 5.2 442 55
6 5.1 368 68
7 5 338 63
7 5.3 440 63
19 5.2 428 58
14 5.5 347 60
17 5.5 343 70
7 5.5 449 60
9 5.4 406 55
13 5.5 445 69
15 5.4 358 59
12 5 339 71
19 5.5 338 67
6 5 430 61
10 5.5 396 72
14 5.2 423 66
9 5.1 385 67
15 7.4 399 58
10 7.4 443 72
12 5.4 378 58
13 5.1 360 68
8 5.4 415 64
13 5.3 329 58
14 5.1 344 55
8 5 450 59
20 5.2 413 76
17 5 411 61
19 5.5 413 66
2 5 371 59
2 5.3 352 65
3 5.3 337 74
11 5.4 404 57
9 5 431 60
10 5.1 447 71
2 5.5 440 67
3 5.5 396 65
2 5.2 342 58
3 5.1 361 63
10 5.3 383 74
14 5.1 348 56
18 5 354 54
14 5.4 345 69
8 5.5 439 61
6 5 420 76
10 5 378 63
15 5.4 352 77
16 5.2 340 77
12 5.2 329 55
20 5 447 76
6 5.5 352 65
6 5.4 338 56
17 5.1 331 68
19 5.1 365 70
14 5 376 63
10 5.1 383 76
8 5.3 412 64
10 5 363 65
8 5 345 77
19 5.3 344 54
14 5.5 399 56
20 5.2 348 74
10 5.2 368 59
14 5.2 421 74
19 5.1 392 66
15 5.5 423 76
14 5.1 326 76
12 5.4 360 64
14 5.2 392 75
6 5.4 388 69
15 5.4 342 68
19 5.5 344 57
7 5.1 417 62
18 5.1 443 56
7 5.3 198 54
14 7.1 149 66
13 7.2 198 55
10 7.4 161 62
6 7.1 176 71
6 7.2 330 69
15 5.4 389 64
16 5.2 436 54
9 5 361 55
12 5.4 408 48
11 5.5 406 55
8 5.5 327 55
7 5.1 396 48
20 5.4 352 63
20 5.5 345 76
20 5.2 365 62
10 5.3 369 69
18 5.2 414 54
12 5.2 380 56
6 5.2 363 69
12 5.5 365 77
17 5.4 353 66
7 5.4 445 71
18 5 449 58
7 5 422 59
16 5.2 417 68
20 5.3 408 75
18 5 430 74
18 5.3 420 68
7 5.4 429 68
17 5.4 346 61
14 5.4 353 61
17 5.1 364 66
15 5.3 399 70
16 5.3 351 66
9 5.3 334 57
12 5.1 345 57
9 5 438 68
10 5.3 425 55
16 5.1 401 67
12 7.4 438 69
9 7.3 359 59
6 5.3 369 71
9 5.4 449 76
18 5.3 419 68
16 5.5 340 54
18 5.2 355 74
9 5.5 415 54
9 5.4 443 64
6 5.1 391 70
19 5.3 330 73
3 5.4 392 59
2 5.3 363 54
2 5 447 62
20 5.2 441 57
13 5.5 383 73
10 5.5 342 54
2 5.1 404 72
2 5.3 409 65
3 5 345 72
2 5.5 391 61
20 5.1 361 67
14 5.2 339 67
7 5.1 391 66
12 5.1 443 54
13 5 337 54
16 5 341 58
13 5.1 438 66
20 5.1 330 70
17 5.3 325 75
15 5.5 353 74
12 5.3 378 62
9 5.5 433 69
20 5 395 62
6 5.5 371 54
14 5.4 419 65
7 5 368 74
17 5.5 414 61
6 5.2 442 71
17 5.5 381 77
5 5 352 55
13 5.4 447 68
16 5.3 347 73
17 5.5 375 68
16 5 381 63
17 5 383 64
18 5.1 340 62
6 5.5 343 58
19 5.4 371 57
14 5.4 333 67
11 5.5 427 77
15 5.1 370 56
9 5 450 62
8 5 446 70
10 5.3 421 64
8 5 400 68
8 5.5 152 77
9 7.1 175 72
8 7.2 146 68
18 7.1 124 69
20 7.5 168 77
13 7.1 367 55
5 5.3 449 76
10 5.4 356 52
9 5.2 413 46
15 5.2 385 55
15 5.5 403 49
8 5.4 380 53
10 5 341 54
15 5 437 70
6 5.2 374 66
9 5.3 407 69
12 5 422 74
20 5.1 371 56
12 5.4 424 61
14 5.5 413 73
11 5.1 420 55
14 5.2 416 72
17 5.4 337 74
13 5.1 428 56
14 5.4 353 69
8 5 443 58
8 5.3 440 70
16 5 392 70
14 5.3 396 63
10 5.3 444 65
5 5.3 354 76
17 5 332 54
19 5.4 341 71
17 5.4 358 75
7 5.3 333 71
6 5.4 366 77
14 5.3 340 77
6 5.5 392 66
5 5.4 334 61
15 5.5 448 64
19 7.3 396 60
8 7.4 376 71
11 5.3 384 77
15 5.5 389 76
15 5.4 401 70
14 5.1 428 76
13 5.1 443 64
18 5.1 407 67
10 5 426 66
19 5 442 55
6 5.5 356 56
2 5 358 61
2 5.5 396 62
3 5.3 373 74
14 5.4 409 71
5 5.1 355 59
12 5.1 401 70
2 5.3 346 65
2 5 427 73
3 5.1 432 66
3 5.4 343 70
18 5.1 446 77
18 5.2 449 57
5 5.4 374 60
12 5 350 54
13 5.1 340 74
15 5.1 426 68
20 5 367 65
18 5.1 441 61
11 5.5 409 56
13 5.1 328 58
13 5.3 392 65
5 5.3 399 71
15 5.4 371 76
7 5.3 386 57
16 5.1 346 75
8 5.3 345 64
11 5.1 382 60
20 5.2 353 61
20 5.3 427 59
9 5.2 449 75
19 5.1 436 56
12 5.5 436 64
20 5.2 356 57
17 5.1 393 75
5 5 438 67
14 5.4 340 57
12 5.5 446 57
15 5.4 438 73
10 5.2 327 72
6 5 418 59
20 5.1 423 68
19 5.3 398 54
17 5.1 422 70
20 5.2 331 62
13 5.1 393 63
15 5 152 61
9 7.1 191 54
9 7.4 126 56
16 7.2 140 69
17 7 154 54
13 7.4 346 55
16 5.4 338 57
9 5.3 437 46
7 5.1 445 45
5 5.5 340 53
5 5 338 47
18 5.3 356 48
10 5.2 424 55
10 5.4 337 57
20 5.1 381 62
16 5.3 325 59
13 5.2 400 75
12 5 427 77
19 5.4 392 61
9 5.2 351 61
16 5.5 336 66
12 5.5 427 61
9 5.5 358 57
20 5.1 411 69
5 5.4 354 56
16 5.3 424 66
12 5.1 348 59
13 5.2 350 59
11 5.1 362 58
9 5.2 377 70
7 5.3 444 70
8 5.1 435 64
20 5.2 428 58
12 5.1 338 68
14 5.1 358 67
12 5 337 67
14 5 372 62
15 5.5 367 72
10 5 364 65
13 5 390 71
9 7.4 360 70
14 7 344 65
20 5.1 445 75
14 5.4 418 73
14 5.5 444 63
15 5.5 387 56
16 5.1 395 59
9 5.5 380 55
12 5.4 395 54
19 5.1 404 59
12 5.2 448 67
3 5 424 56
2 5.3 326 62
2 5.3 400 61
18 5.4 413 60
20 5.4 380 71
12 5.2 333 69
2 5.5 415 70
3 5.3 408 59
3 5.4 448 69
3 5 419 71
18 5 403 67
20 5.1 420 75
7 5.5 328 74
17 5.2 406 63
18 5.5 407 62
9 5.4 329 62
13 5 407 65
10 5.1 405 63
19 5.1 393 71
5 5 367 64
20 5.4 433 54
14 5.4 395 63
18 5.2 392 75
15 5.5 390 64
15 5.4 412 56
11 5.1 383 67
7 5.1 406 58
14 5.2 336 68
16 5 328 60
17 5.2 433 59
12 5 395 55
15 5.2 442 71
10 5 347 57
15 5 399 59
12 5.2 398 68
10 5.2 360 57
13 5.2 398 60
10 5 414 70
8 5.2 328 58
5 5.3 424 76
8 5.3 425 67
16 5.2 377 69
10 5.2 412 69
10 5.2 380 74
16 5 416 63
11 5.5 148 59
6 7.1 158 69
14 7.5 184 58
5 7.2 170 62
16 7.3 170 64
10 7.2 392 70
5 5.2 386 73
17 5.3 367 45
18 5.1 423 50
5 5.4 370 47
7 5.2 400 52
12 5.1 377 52
5 5.3 386 46
17 5.1 442 55
13 5 347 67
19 5 356 71
15 5.1 424 64
19 5.4 430 76
7 5.2 344 69
15 5.4 439 56
20 5 407 59
18 5.3 428 61
17 5 364 58
5 5.1 449 74
19 5 355 56
14 5.3 342 72
16 5.1 358 63
16 5 448 67
18 5.5 418 59
6 5.5 390 66
19 5.4 389 73
16 5.2 413 76
9 5.2 375 77
12 5.5 407 67
6 5.3 429 54
19 5.5 416 70
8 5 432 61
9 5.5 366 75
12 5.1 440 65
18 5.5 398 68
20 7.1 399 60
10 7.5 449 64
16 5.1 358 54
20 5 326 60
17 5.1 344 75
18 5 419 64
7 5.2 330 68
15 5.1 430 67
10 5.5 423 62
9 5.4 379 73
6 5.1 445 68
3 5.5 449 59
2 5.1 431 77
3 5.4 403 74
8 5.3 450 58
14 5.5 445 69
9 5 416 71
3 5.5 363 67
3 5 421 67
2 5.3 428 75
2 5.2 423 69
19 5 377 56
16 5.4 437 61
15 5.3 401 54
5 5.2 332 73
12 5.4 363 55
15 5.4 331 71
9 5.3 409 73
9 5.4 446 54
18 5 362 59
5 5.4 446 70
8 5.4 426 73
14 5.2 439 55
11 5.4 434 59
19 5.5 444 71
18 5.4 402 73
17 5 433 73
6 5 384 55
13 5.3 415 61
20 5.2 357 72
6 5 368 54
7 5.5 350 76
11 5.4 375 57
16 5.3 395 75
14 5 430 65
18 5.3 412 70
14 5.4 413 59
14 5.5 366 65
16 5.2 326 55
17 5.4 449 66
10 5.5 421 60
17 5.4 353 55
8 5.1 427 77
6 5.3 415 77
16 5 334 62
8 5.5 418 66
18 5.2 145 56
13 7 198 66
13 7.1 121 56
15 7 177 59
13 7.5 168 68
7 7 338 56
18 5.2 388 74
6 5.3 449 53
9 5.5 361 46
15 5.2 405 48
8 5.1 375 54
12 5.2 336 50
15 5.3 375 54
17 5.3 417 72
19 5.5 384 62
20 5 361 76
6 5.2 364 74
20 5 379 55
15 5.2 352 64
14 5.2 439 60
7 5 325 61
10 5.5 372 74
13 5.1 413 74
15 5.3 392 64
6 5 370 70
10 5.5 360 63
5 5.1 372 64
16 5.3 388 59
15 5.5 337 58
7 5.2 438 54
19 5 445 60
19 5 400 62
10 5.4 389 73
7 5.2 447 68
5 5.2 389 70
6 5.4 332 68
6 5.1 346 76
15 5 328 72
15 5 377 66
7 5.5 442 58
18 7.3 354 63
16 7.4 361 64
6 5.5 393 77
20 5.4 369 73
5 5.5 411 75
8 5.5 444 66
19 5.2 447 77
13 5.5 343 56
19 5.1 429 69
15 5.4 347 77
12 5 332 76
3 5.1 408 63
3 5 429 65
2 5.3 390 69
14 5.4 355 60
15 5.1 415 60
19 5.5 448 64
2 5.1 353 65
3 5.5 445 63
3 5 410 59
2 5.5 332 65
12 5.2 420 62
19 5.1 331 60
14 5 392 57
5 5.4 438 56
5 5.3 341 63
20 5.4 442 61
13 5.4 338 65
14 5.3 421 60
13 5.5 329 77
17 5 379 75
7 5.5 398 55
13 5 328 74
17 5.2 391 68
9 5.2 337 70
16 5.5 342 66
13 5.5 403 66
5 5.3 352 68
14 5 446 70
15 5 392 77
16 5.2 354 67
5 5.1 361 67
8 5.5 359 54
8 5 410 67
19 5 441 67
14 5.3 361 75
20 5.2 401 54
17 5.3 330 68
19 5.4 401 67
12 5 410 77
5 5.4 401 59
13 5.2 327 75
16 5 442 55
18 5.4 448 67
10 5.2 335 58
19 5 425 69
16 5.3 189 77
14 7.1 130 66
11 7.2 165 69
18 7.3 143 58
6 7.3 200 71
15 7.5 438 54
6 5.1 356 64
11 5.1 418 45
6 5.4 449 48
10 5 403 45
9 5.4 405 45
15 5.5 387 52
16 5.3 345 47
5 5.1 427 77
7 5.5 445 57
9 5.2 421 60
20 5.4 331 58
12 5 407 61
13 5.2 379 60
16 5.2 429 61
12 5.1 365 63
11 5.4 341 69
13 5.5 363 71
12 5.1 388 74
6 5.3 366 74
5 5.4 390 76
12 5.5 334 57
13 5.1 363 57
6 5.4 345 71
15 5.2 420 61
11 5.2 340 62
5 5.3 331 56
8 5 426 57
10 5.1 407 58
17 5 359 55
14 5.3 385 63
17 5.2 435 64
7 5.5 361 64
13 5 333 54
8 5.1 364 56
9 7.3 327 72
19 7.3 339 55
11 5 357 62
20 5.5 383 63
17 5.1 407 66
16 5.4 419 62
9 5.2 329 68
20 5.2 447 73
20 5.3 439 61
20 5 360 54
19 5 386 56
2 5.4 416 77
3 5 356 55
3 5.3 365 73
8 5.5 372 60
12 5.1 374 68
7 5.4 327 56
2 5.1 429 61
2 5 428 57
2 5.1 374 54
3 5.5 441 75
9 5 399 74
18 5.4 413 55
17 5.5 328 72
18 5.4 379 69
13 5 428 54
10 5.4 400 68
9 5.3 404 71
12 5.4 409 56
11 5.5 403 61
20 5.2 389 57
14 5.4 341 60
6 5.3 443 69
19 5.1 438 72
16 5.4 349 54
11 5 336 69
19 5.4 355 76
18 5.1 385 63
17 5.3 427 55
5 5.4 449 75
20 5.4 420 68
7 5.5 391 60
14 5.4 406 60
6 5.5 403 72
20 5.5 433 77
6 5.2 344 77
8 5.3 419 66
14 5.3 378 54
16 5.1 382 63
14 5.3 417 76
7 5.4 402 68
13 5.4 433 74
10 5.3 436 66
6 5.1 449 68
11 5 383 72
16 5 409 73
8 5.5 200 54
7 7 171 59
16 7.1 185 61
6 7.2 136 77
19 7.4 189 54
8 7.4 449 71
17 5.1 339 54
8 5.5 352 50
9 5.5 425 52
20 5.5 396 54
9 5.1 390 47
12 5.5 374 54
17 5.2 331 55
12 5.4 327 74
10 5.1 399 67
18 5.3 356 75
16 5.5 444 59
20 5 417 70
10 5.4 346 59
20 5.2 385 56
8 5.5 362 77
19 5 351 73
18 5.4 426 76
14 5.4 387 65
16 5.4 447 74
16 5.4 330 68
10 5.2 408 66
6 5.1 445 77
9 5.5 416 76
9 5.5 428 58
20 5.5 365 59
8 5 341 54
13 5.4 347 77
6 5.1 414 64
14 5.1 342 58
17 5 325 70
14 5 359 59
11 5.4 446 57
11 5.1 338 55
6 5.5 355 57
15 7 438 68
7 7.2 415 73
8 5.1 354 70
20 5.2 368 57
6 5.1 382 67
6 5.3 433 64
8 5.4 423 64
11 5.3 423 54
11 5.3 419 67
12 5 449 74
7 5.1 393 57
3 5.3 332 76
2 5.4 424 72
2 5.2 387 56
17 5.5 396 59
11 5.1 418 59
7 5.2 428 57
2 5.3 354 62
3 5.1 354 63
2 5.1 358 74
3 5.2 372 56
19 5.3 399 64
14 5 380 61
6 5.5 399 55
8 5.5 374 67
7 5.2 445 58
13 5.1 334 74
14 5.3 336 73
12 5.2 449 68
5 5 442 69
6 5.2 350 61
12 5.3 442 74
16 5.3 325 59
15 5.2 445 63
19 5.5 407 68
13 5 359 63
9 5.3 424 64
13 5.3 342 65
17 5.5 365 62
7 5.5 377 71
5 5.1 352 56
8 5.4 368 61
8 5.5 344 72
5 5.2 367 64
13 5.5 425 73
12 5.3 328 63
12 5.5 420 72
8 5.3 408 65
12 5.4 374 63
6 5.2 408 76
19 5.1 342 72
16 5.4 337 68
9 5.3 417 54
16 5.1 389 68
12 5.3 389 55
10 5 430 76
12 5.5 197 67
8 7.4 123 65
18 7.4 141 54
14 7 195 59
11 7.2 179 75
11 7.5 434 60
14 5.2 415 67
13 5 365 50
10 5.1 392 54
11 5.4 418 51
15 5 383 50
15 5.4 355 55
20 5.5 336 50
19 5.1 362 59
11 5.2 386 73
5 5.1 450 69
14 5.2 378 66
18 5 332 68
10 5.1 436 64
10 5 373 69
17 5.2 387 64
18 5.5 418 67
18 5.4 367 61
19 5 395 63
20 5.2 370 66
13 5.4 448 77
10 5.4 418 63
20 5.2 328 58
8 5.2 428 62
12 5.2 334 67
20 5 369 66
11 5.4 342 56
7 5 414 70
8 5.3 391 63
19 5.3 371 54
10 5.4 354 77
10 5.1 407 68
13 5.3 446 62
10 5.5 408 55
8 5 390 68
13 7.5 339 70
8 7.1 413 73
8 5.1 405 60
16 5.1 365 54
11 5.4 353 61
5 5.5 438 73
10 5.4 398 58
19 5.1 408 63
20 5 373 65
16 5.2 329 74
20 5.2 354 58
2 5.1 448 64
2 5.4 448 74
2 5.1 446 74
8 5.5 443 71
12 5.3 402 71
8 5.2 408 63
3 5.4 386 75
2 5.1 405 54
2 5 392 72
3 5.3 389 69
12 5.1 401 67
19 5 447 76
15 5.2 349 66
11 5.2 400 70
14 5.5 349 61
17 5.4 345 71
15 5.5 365 54
14 5.1 344 55
9 5.1 440 76
11 5.5 410 64
13 5.1 374 68
15 5.3 411 58
15 5.5 407 57
11 5.5 444 76
5 5.5 356 60
15 5.4 439 62
13 5 404 54
19 5.2 334 75
10 5 408 62
19 5.1 413 63
5 5 351 65
7 5.1 417 76
16 5.5 412 74
8 5.3 419 70
6 5.1 367 69
6 5.2 342 59
20 5.2 347 55
12 5.5 386 77
15 5 435 62
8 5.3 421 76
18 5.1 433 59
5 5 440 68
11 5 404 77
11 5.5 364 77
11 5.3 365 60
11 5.5 181 62
12 7.2 124 68
12 7.4 199 68
15 7.1 174 76
10 7 194 77
17 7.5 402 71
8 5.5 448 65
15 5 334 50
20 5.2 380 46
10 5 412 55
16 5.2 368 51
12 5 348 49
13 5.1 382 50
7 5.2 426 55
10 5.3 421 74
13 5.2 431 65
11 5.1 408 64
20 5.2 405 71
5 5.3 364 64
5 5.5 382 77
13 5.5 336 58
20 5.4 384 65
17 5.2 325 61
13 5.5 376 63
10 5.2 426 69
13 5.4 338 67
14 5.4 424 65
13 5.5 399 64
12 5.3 416 61
8 5.3 410 59
14 5.4 406 73
14 5.1 411 63
20 5.4 395 74
14 5.2 366 72
13 5 342 61
7 5.2 404 56
20 5 333 67
13 5.2 392 61
10 5.4 349 68
15 5.1 442 76
6 7.2 366 73
14 7 398 64
9 5 396 74
14 5.2 440 67
9 5.1 365 58
18 5.4 343 66
19 5 364 63
13 5.3 355 58
20 5.2 421 58
19 5.4 337 76
18 5 347 66
2 5 436 58
2 5.3 433 64
2 5.1 422 60
9 5.1 329 56
7 5.5 397 57
5 5.4 343 68
2 5.4 386 73
3 5.1 396 58
3 5.2 440 72
3 5.3 383 69
8 5.2 385 59
7 5.4 420 76
6 5.3 418 60
6 5.5 368 61
11 5.1 448 70
7 5 366 72
17 5 358 69
14 5.1 419 58
18 5.5 393 71
9 5.1 441 59
17 5.4 397 69
18 5.5 342 65
6 5.3 420 59
17 5.3 361 57
11 5.5 446 75
15 5.4 413 75
14 5.2 397 60
17 5.3 436 71
12 5.1 383 74
17 5.1 424 65
17 5.1 368 67
7 5.1 342 55
8 5.5 341 70
6 5 329 63
19 5.1 397 68
9 5.2 335 76
14 5.1 408 68
8 5.5 332 65
6 5.4 416 70
5 5.1 330 65
17 5.3 440 61
9 5.3 339 69
9 5.5 437 73
14 5.2 383 66
6 5.4 393 71
6 5.3 195 61
5 7.5 140 73
20 7.5 186 55
19 7.3 156 56
8 7.1 133 64
8 7.1 327 67
7 5.3 442 72
18 5.4 361 52
6 5.1 434 53
5 5.5 346 47
5 5.3 354 45
15 5.4 360 46
19 5.5 427 50
10 5.3 340 65
12 5.2 341 64
15 5.4 423 63
5 5.2 335 58
18 5.1 441 66
7 5.1 404 69
10 5.3 397 59
8 5.2 372 66
16 5.2 388 58
6 5.4 382 76
18 5.4 426 76
14 5 417 58
7 5.4 369 57
18 5 366 61
7 5.4 398 60
5 5.3 342 58
14 5 376 62
5 5.5 339 55
18 5 349 59
19 5 327 72
8 5.1 409 73
15 5.1 370 69
8 5.4 362 54
14 5.4 411 57
17 5.2 369 68
18 5.2 350 69
8 5 434 70
15 7.5 446 75
6 7.4 354 75
13 5.3 430 67
15 5.1 373 64
5 5.2 386 75
20 5.5 398 65
14 5.4 334 65
12 5 445 57
18 5 415 55
11 5.1 332 74
5 5.5 357 76
2 5.5 423 55
2 5.2 339 55
3 5.1 365 61
5 5 346 62
12 5 407 75
12 5.3 379 73
3 5 400 57
2 5 418 57
2 5.1 358 74
2 5.5 337 76
16 5.2 337 55
17 5.3 432 65
13 5 427 65
20 5.5 425 67
5 5.1 415 56
19 5.3 443 72
15 5.4 425 65
9 5.5 417 54
20 5.1 399 69
17 5.4 393 72
13 5.3 419 70
5 5.4 414 67
18 5.5 353 71
20 5 344 72
17 5.4 340 56
17 5.4 439 73
14 5.4 428 74
17 5.4 406 77
19 5.3 396 58
11 5.2 352 67
11 5.4 374 64
16 5.5 329 61
8 5 364 66
17 5.3 395 63
15 5.1 334 59
19 5.3 409 73
13 5.2 394 71
8 5.2 360 76
10 5.2 345 65
13 5.4 447 56
5 5.2 429 60
8 5.2 402 71
6 5.1 430 69
15 5.4 425 68
20 5.3 361 57
16 5.2 151 63
20 7.3 165 59
12 7.2 198 61
8 7.5 185 67
9 7 196 67
9 7.1 396 77
8 5.5 328 64
11 5.1 435 52
11 5.2 350 47
20 5.4 396 50
15 5.5 406 50
11 5.4 341 55
17 5.1 364 51
16 5 362 60
16 5.3 339 65
13 5.2 391 73
20 5.5 409 67
7 5 332 68
14 5.4 450 54
19 5.5 430 66
9 5.2 362 68
7 5.2 386 65
20 5.1 359 68
5 5.5 342 61
10 5.2 440 72
17 5.1 366 75
19 5.5 437 55
12 5.4 397 56
5 5 416 61
5 5.3 336 67
11 5.4 446 61
8 5.4 390 63
13 5 375 77
18 5.3 371 71
12 5 412 74
18 5.4 387 59
5 5.1 378 65
15 5 350 67
10 5.5 426 64
12 5.2 340 57
20 7.4 392 73
19 7.2 384 62
15 5.2 450 73
6 5.3 404 56
9 5.5 432 67
19 5.5 351 58
6 5.1 385 71
8 5.4 329 59
14 5.2 332 77
15 5.2 417 54
15 5.4 398 63
3 5.4 450 68
3 5.2 417 66
3 5.2 393 56
